Fixture:,Home win odds,Draw odds,Away win odds,Home win,Draw,Away Win,Home Team,Away Team,Draw option,Predicted Result
Leicester-Aston Villa,1.38,5.12,8.05,0.51,0.32,0.17,Leicester,Aston Villa,Draw,Home win
Man United-Man City,5.04,4.28,1.64,0.2,0.29,0.51,Man United,Man City,Draw,Away win
Chelsea-Everton,1.87,3.74,4.2,0.44,0.36,0.2,Chelsea,Everton,Draw,Home win
Burnley-Tottenham,2.72,3.3,2.69,0.26,0.34,0.4,Burnley ,Tottenham,Draw,Away win
Wolves-Brighton,1.65,3.95,5.48,0.42,0.37,0.21,Wolves,Brighton,Draw,Home win
Southamption-Newcastle,1.67,3.95,5.48,0.4,0.35,0.25,Southampton,Newcastle,Draw,Home win
Sheffield Utd-Norwich,1.66,3.78,5.71,0.43,0.35,0.22,Sheffield Utd,Norwich,Draw,Home win
Crystal Palace-Watford,2.57,3.19,2.95,0.26,0.38,0.36,Crystal Palace,Watford,Draw,Draw
Arsenal-West Ham,1.56,4.37,5.78,0.49,0.35,0.16,Arsenal,West Ham,Draw,Home win
Liverpool-Bournemouth,1.25,6.24,11.93,0.62,0.3,0.08,Liverpool,Bournemouth,Draw,Home win
