,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,27,,38,418,,68,48,3,3,53,4,161.05,113.68,274.74,153.95,267.63
Aston Villa,26,,38,418,,38,25,2,4,78,0,90.00,59.21,149.21,85.26,144.47
Cardiff City,32,,38,418,,31,24,1,1,49,1,73.42,56.84,130.26,71.05,127.89
Chelsea,29,,38,418,,69,39,5,7,59,3,163.42,92.37,255.79,151.58,243.95
Crystal Palace,32,,38,418,,32,21,5,6,58,2,75.79,49.74,125.53,63.95,113.68
Everton,28,,38,418,,58,42,3,3,54,1,137.37,99.47,236.84,130.26,229.74
Fulham,39,,38,418,,38,28,2,3,58,1,90.00,66.32,156.32,85.26,151.58
Hull City,27,,38,418,,35,21,2,3,54,4,82.89,49.74,132.63,78.16,127.89
Liverpool,25,,38,418,,97,61,10,12,54,1,229.74,144.47,374.21,206.05,350.53
Manchester City,23,,38,418,,97,63,6,7,72,1,229.74,149.21,378.95,215.53,364.74
Manchester Utd,30,,38,418,,63,37,5,5,68,3,149.21,87.63,236.84,137.37,225.00
Newcastle Utd,26,,38,418,,41,25,2,3,53,6,97.11,59.21,156.32,92.37,151.58
Norwich City,25,,38,418,,28,18,1,2,63,2,66.32,42.63,108.95,63.95,106.58
Southampton,24,,38,418,,52,37,3,3,60,0,123.16,87.63,210.79,116.05,203.68
Stoke City,26,,38,418,,44,26,4,5,75,5,104.21,61.58,165.79,94.74,156.32
Sunderland,31,,38,418,,41,24,6,6,69,7,97.11,56.84,153.95,82.89,139.74
Swansea City,27,,38,418,,47,37,4,4,56,3,111.32,87.63,198.95,101.84,189.47
Tottenham,28,,38,418,,50,33,5,6,65,4,118.42,78.16,196.58,106.58,184.74
West Brom,28,,38,418,,41,27,2,2,67,0,97.11,63.95,161.05,92.37,156.32
West Ham,29,,38,418,,36,22,2,2,64,5,85.26,52.11,137.37,80.53,132.63
