,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Aston Villa,30,51.8,46,506,4140,71,52,6,6,,,1.54,1.13,2.67,1.41,2.54
Barnsley,35,47.8,46,506,4140,46,26,2,2,,,1.00,0.57,1.57,0.96,1.52
Birmingham City,32,45.9,46,506,4140,38,28,2,3,,,0.83,0.61,1.43,0.78,1.39
Bolton,30,41.9,46,506,4140,37,28,4,5,,,0.80,0.61,1.41,0.72,1.33
Brentford,28,57.6,46,506,4140,59,41,2,4,,,1.28,0.89,2.17,1.24,2.13
Bristol City,29,53.0,46,506,4140,67,46,4,4,,,1.46,1.00,2.46,1.37,2.37
Burton Albion,31,43.4,46,506,4140,37,23,2,3,,,0.80,0.50,1.30,0.76,1.26
Cardiff City,32,43.1,46,506,4140,69,52,4,6,,,1.50,1.13,2.63,1.41,2.54
Derby County,27,47.9,46,506,4140,70,50,8,9,,,1.52,1.09,2.61,1.35,2.43
Fulham,28,60.0,46,506,4140,77,49,4,5,,,1.67,1.07,2.74,1.59,2.65
Hull City,29,50.1,46,506,4140,67,47,6,9,,,1.46,1.02,2.48,1.33,2.35
Ipswich Town,35,45.5,46,506,4140,56,42,1,2,,,1.22,0.91,2.13,1.20,2.11
Leeds United,31,49.8,46,506,4140,57,42,1,2,,,1.24,0.91,2.15,1.22,2.13
Middlesbrough,28,48.7,46,506,4140,66,43,4,6,,,1.43,0.93,2.37,1.35,2.28
Millwall,24,41.5,46,506,4140,54,39,2,4,,,1.17,0.85,2.02,1.13,1.98
Norwich City,28,55.3,46,506,4140,47,35,4,5,,,1.02,0.76,1.78,0.93,1.70
Nott'ham Forest,35,54.2,46,506,4140,51,32,3,4,,,1.11,0.70,1.80,1.04,1.74
Preston,28,52.3,46,506,4140,56,38,4,6,,,1.22,0.83,2.04,1.13,1.96
QPR,31,50.8,46,506,4140,57,43,2,3,,,1.24,0.93,2.17,1.20,2.13
Reading,28,55.3,46,506,4140,44,30,3,3,,,0.96,0.65,1.61,0.89,1.54
Sheffield Utd,30,53.1,46,506,4140,61,45,2,2,,,1.33,0.98,2.30,1.28,2.26
Sheffield Weds,35,50.3,46,506,4140,59,43,4,4,,,1.28,0.93,2.22,1.20,2.13
Sunderland,35,47.4,46,505,4140,49,36,5,6,,,1.07,0.78,1.85,0.96,1.74
Wolves,31,54.4,46,506,4140,81,57,5,6,,,1.76,1.24,3.00,1.65,2.89
