,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,30,61.5,38,418,3420,73,61,4,5,57,2,1.92,1.61,3.53,1.82,3.42,63.3,59.5,63.3,1.67,1.67,3.33,1.57,3.23
Bournemouth,22,47.8,38,418,3420,45,36,3,3,56,2,1.18,0.95,2.13,1.11,2.05,44.4,42.1,44.4,1.17,1.17,2.34,1.11,2.28
Brighton,24,43.7,38,418,3420,33,25,5,7,54,2,0.87,0.66,1.53,0.74,1.39,37.4,32.1,37.4,0.99,0.99,1.97,0.85,1.83
Burnley,24,43.9,38,418,3420,35,26,0,0,65,0,0.92,0.68,1.61,0.92,1.61,35.2,35.2,35.2,0.93,0.93,1.85,0.93,1.85
Chelsea,26,55.4,38,418,3420,60,42,3,3,44,6,1.58,1.11,2.68,1.50,2.61,56.8,54.5,56.8,1.49,1.49,2.99,1.43,2.93
Crystal Palace,28,45.3,38,418,3420,44,26,8,10,72,0,1.16,0.68,1.84,0.95,1.63,53.9,46.6,53.9,1.42,1.42,2.84,1.23,2.64
Everton,30,45.9,38,418,3420,42,26,5,8,53,5,1.11,0.68,1.79,0.97,1.66,40.6,34.4,40.6,1.07,1.07,2.14,0.91,1.97
Huddersfield,25,45.7,38,418,3420,25,19,2,2,63,5,0.66,0.50,1.16,0.61,1.11,32.6,31.1,32.6,0.86,0.86,1.72,0.82,1.68
Leicester City,27,47.9,38,418,3420,53,38,5,6,56,9,1.39,1.00,2.39,1.26,2.26,47.2,42.6,47.2,1.24,1.24,2.48,1.12,2.36
Liverpool,27,60.5,38,418,3420,82,58,2,3,44,1,2.16,1.53,3.68,2.11,3.63,71.3,69.0,71.3,1.88,1.88,3.75,1.82,3.69
Manchester City,25,71.1,38,418,3420,103,85,6,8,61,4,2.71,2.24,4.95,2.55,4.79,81.7,75.7,81.7,2.15,2.15,4.30,1.99,4.14
Manchester Utd,27,54.8,38,418,3420,67,53,1,3,64,1,1.76,1.39,3.16,1.74,3.13,57.5,55.0,57.5,1.51,1.51,3.02,1.45,2.96
Newcastle Utd,27,41.7,38,418,3420,38,29,0,1,53,3,1.00,0.76,1.76,1.00,1.76,42.5,41.8,42.5,1.12,1.12,2.24,1.10,2.22
Southampton,26,51.5,38,418,3420,36,23,3,3,64,3,0.95,0.61,1.55,0.87,1.47,40.4,38.1,40.4,1.06,1.06,2.13,1.00,2.07
Stoke City,30,41.3,38,418,3420,34,28,0,3,62,1,0.89,0.74,1.63,0.89,1.63,37.9,35.6,37.9,1.00,1.00,1.99,0.94,1.93
Swansea City,26,45.2,38,418,3420,27,20,1,1,51,1,0.71,0.53,1.24,0.68,1.21,31.2,30.5,31.2,0.82,0.82,1.64,0.80,1.62
Tottenham,25,61.9,38,418,3420,70,51,2,3,51,3,1.84,1.34,3.18,1.79,3.13,67.7,65.5,67.7,1.78,1.78,3.56,1.72,3.50
Watford,29,49.6,38,418,3420,42,27,3,6,64,5,1.11,0.71,1.82,1.03,1.74,44.8,40.1,44.8,1.18,1.18,2.36,1.06,2.24
West Brom,24,40.6,38,418,3420,31,24,1,1,73,1,0.82,0.63,1.45,0.79,1.42,35.3,34.6,35.3,0.93,0.93,1.86,0.91,1.84
West Ham,27,45.0,38,418,3420,48,29,2,4,74,3,1.26,0.76,2.03,1.21,1.97,38.0,35.0,38.0,1.00,1.00,2.00,0.92,1.92
