Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK
Arsenal,29,58.9,38,418,3420,73,55,4,6,68,3,1.92,1.45,3.37,1.82,3.26
Bournemouth,27,51.5,38,418,3420,53,33,7,10,54,5,1.39,0.87,2.26,1.21,2.08
Burnley,27,40.3,38,418,3420,39,24,6,6,66,3,1.03,0.63,1.66,0.87,1.5
Chelsea,24,55.1,38,418,3420,83,53,2,4,72,0,2.18,1.39,3.58,2.13,3.53
Crystal Palace,31,45.4,38,418,3420,48,32,4,7,77,0,1.26,0.84,2.11,1.16,2
Everton,27,52.1,38,418,3420,58,45,3,4,73,3,1.53,1.18,2.71,1.45,2.63
Hull City,28,45.9,38,418,3420,36,24,3,3,67,5,0.95,0.63,1.58,0.87,1.5
Leicester City,25,41.9,38,418,3420,46,32,4,6,72,1,1.21,0.84,2.05,1.11,1.95
Liverpool,23,62,38,418,3420,77,52,7,8,54,0,2.03,1.37,3.39,1.84,3.21
Manchester City,25,65,38,418,3420,75,54,7,9,71,4,1.97,1.42,3.39,1.79,3.21
Manchester Utd,31,56.5,38,418,3420,54,37,3,4,79,3,1.42,0.97,2.39,1.34,2.32
Middlesbrough,27,47.3,38,418,3420,26,22,2,2,78,2,0.68,0.58,1.26,0.63,1.21
Southampton,26,54.4,38,418,3420,39,27,3,6,60,3,1.03,0.71,1.74,0.95,1.66
Stoke City,26,46.3,38,418,3420,37,24,4,6,71,3,0.97,0.63,1.61,0.87,1.5
Sunderland,31,39.7,38,418,3420,28,11,5,5,81,7,0.74,0.29,1.03,0.61,0.89
Swansea City,27,47.9,38,418,3420,45,31,3,3,56,0,1.18,0.82,2,1.11,1.92
Tottenham,24,60.5,38,418,3420,84,59,7,9,62,0,2.21,1.55,3.76,2.03,3.58
Watford,33,46.1,38,418,3420,39,27,3,3,87,8,1.03,0.71,1.74,0.95,1.66
West Brom,23,37.3,38,418,3420,43,33,1,1,80,0,1.13,0.87,2,1.11,1.97
West Ham,29,47.1,38,418,3420,46,28,3,4,82,9,1.21,0.74,1.95,1.13,1.87
Aston Villa,35,49.2,46,506,4140,46,33,6,7,70,1,1,0.72,1.72,0.87,1.59
Barnsley,32,46.7,46,506,4140,62,46,1,2,70,0,1.35,1,2.35,1.33,2.33
Birmingham City,30,44.3,46,506,4140,45,22,9,12,70,2,0.98,0.48,1.46,0.78,1.26
Blackburn,31,45.3,46,506,4140,49,34,6,8,70,2,1.07,0.74,1.8,0.93,1.67
Brentford,30,50.9,46,506,4140,73,57,2,5,70,2,1.59,1.24,2.83,1.54,2.78
Brighton,28,51.9,46,505,4140,74,44,10,11,70,4,1.61,0.96,2.57,1.39,2.35
Bristol City,32,50.6,46,506,4140,59,42,6,8,70,1,1.28,0.91,2.2,1.15,2.07
Burton Albion,30,47.1,46,506,4140,49,29,1,1,70,1,1.07,0.63,1.7,1.04,1.67
Cardiff City,33,43.4,46,506,4140,58,35,7,7,70,1,1.26,0.76,2.02,1.11,1.87
Derby County,28,49.7,46,506,4140,52,32,5,8,70,1,1.13,0.7,1.83,1.02,1.72
Fulham,27,61.3,46,506,4140,83,56,4,11,70,1,1.8,1.22,3.02,1.72,2.93
Huddersfield,25,57.9,46,506,4140,55,35,2,4,70,2,1.2,0.76,1.96,1.15,1.91
Ipswich Town,32,48.1,46,506,4140,47,35,3,3,70,0,1.02,0.76,1.78,0.96,1.72
Leeds United,25,51.4,46,506,4140,59,41,6,6,70,2,1.28,0.89,2.17,1.15,2.04
Newcastle Utd,30,55.8,46,506,4140,82,50,3,5,70,0,1.78,1.09,2.87,1.72,2.8
Norwich City,28,53.2,46,505,4140,82,65,5,7,70,1,1.78,1.41,3.2,1.67,3.09
Nott'ham Forest,38,48.9,46,506,4140,60,35,7,8,70,8,1.3,0.76,2.07,1.15,1.91
Preston,29,44.7,46,506,4140,62,49,2,3,70,0,1.35,1.07,2.41,1.3,2.37
QPR,37,48.2,46,506,4140,49,30,5,6,70,4,1.07,0.65,1.72,0.96,1.61
Reading,28,60.6,46,506,4140,67,41,6,12,70,2,1.46,0.89,2.35,1.33,2.22
Rotherham Utd,35,39.2,46,506,4140,38,29,0,1,70,1,0.83,0.63,1.46,0.83,1.46
Sheffield Weds,30,53.3,46,506,4140,58,39,5,7,70,2,1.26,0.85,2.11,1.15,2
Wigan Athletic,41,50.7,46,506,4140,37,31,2,2,70,0,0.8,0.67,1.48,0.76,1.43
Wolves,35,47.9,46,506,4140,53,38,4,6,70,1,1.15,0.83,1.98,1.07,1.89
