,,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G
1,Bournemouth,23,13,7,3,48,25,+23,46,2.00,23,13,5,5,50,20,+30,44,1.91
2,Watford,23,14,4,5,48,22,+26,46,2.00,23,13,4,6,43,28,+15,43,1.87
3,Norwich City,23,12,6,5,50,24,+26,42,1.83,23,13,5,5,38,24,+14,44,1.91
4,Middlesbrough,23,15,5,3,42,12,+30,50,2.17,23,10,5,8,26,25,+1,35,1.52
5,Brentford,23,12,6,5,46,28,+18,42,1.83,23,11,3,9,32,31,+1,36,1.57
6,Ipswich Town,23,15,5,3,40,18,+22,50,2.17,23,7,7,9,32,36,-4,28,1.22
7,Wolves,23,13,6,4,42,23,+19,45,1.96,23,9,6,8,28,33,-5,33,1.43
8,Derby County,23,12,7,4,48,24,+24,43,1.87,23,9,7,7,37,32,+5,34,1.48
9,Blackburn,23,11,6,6,37,28,+9,39,1.70,23,6,10,7,29,31,-2,28,1.22
10,Birmingham City,23,10,7,6,29,31,-2,37,1.61,23,6,8,9,25,33,-8,26,1.13
11,Cardiff City,23,10,5,8,31,30,+1,35,1.52,23,6,9,8,26,31,-5,27,1.17
12,Charlton Ath,23,9,9,5,32,27,+5,36,1.57,23,5,9,9,22,33,-11,24,1.04
13,Sheffield Weds,23,5,11,7,16,20,-4,26,1.13,23,9,7,7,27,29,-2,34,1.48
14,Nott'ham Forest,23,9,5,9,37,32,+5,32,1.39,23,6,9,8,34,37,-3,27,1.17
15,Leeds United,23,8,6,9,22,24,-2,30,1.30,23,7,5,11,28,37,-9,26,1.13
16,Huddersfield,23,8,8,7,34,34,0,32,1.39,23,5,8,10,24,41,-17,23,1.00
17,Fulham,23,9,5,9,36,38,-2,32,1.39,23,5,5,13,26,45,-19,20,0.87
18,Bolton,23,9,8,6,35,27,+8,35,1.52,23,4,4,15,19,40,-21,16,0.70
19,Reading,23,8,5,10,24,25,-1,29,1.26,23,5,6,12,24,44,-20,21,0.91
20,Brighton,23,6,8,9,26,29,-3,26,1.13,23,4,9,10,18,25,-7,21,0.91
21,Rotherham Utd,23,8,7,8,31,34,-3,31,1.35,23,3,9,11,15,33,-18,18,0.78
22,Millwall,23,5,7,11,25,40,-15,22,0.96,23,4,7,12,17,36,-19,19,0.83
23,Wigan Athletic,23,3,8,12,18,29,-11,17,0.74,23,6,4,13,21,35,-14,22,0.96
24,Blackpool,23,4,7,12,18,35,-17,19,0.83,23,0,7,16,18,56,-38,7,0.30
