,,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90
1,Manchester City,19,18,0,1,57,12,+45,54,2.84,47.0,14.3,+32.7,+1.72,19,14,2,3,38,11,+27,44,2.32,34.6,10.9,+23.7,+1.25
2,Liverpool,19,17,2,0,55,10,+45,53,2.79,41.5,13.3,+28.2,+1.48,19,13,5,1,34,12,+22,44,2.32,31.4,16.5,+14.9,+0.79
3,Chelsea,19,12,6,1,39,12,+27,42,2.21,29.7,14.4,+15.3,+0.81,19,9,3,7,24,27,-3,30,1.58,28.2,20.4,+7.8,+0.41
4,Tottenham,19,12,2,5,34,16,+18,38,2.00,30.7,23.0,+7.6,+0.40,19,11,0,8,33,23,+10,33,1.74,23.7,22.7,+1.0,+0.05
5,Arsenal,19,14,3,2,42,16,+26,45,2.37,32.8,24.2,+8.7,+0.46,19,7,4,8,31,35,-4,25,1.32,23.7,31.5,-7.8,-0.41
6,Manchester Utd,19,10,6,3,33,25,+8,36,1.89,31.4,20.3,+11.1,+0.59,19,9,3,7,32,29,+3,30,1.58,28.2,28.0,+0.2,+0.01
7,Wolves,19,10,4,5,28,21,+7,34,1.79,29.3,17.4,+12.0,+0.63,19,6,5,8,19,25,-6,23,1.21,20.1,21.5,-1.4,-0.07
8,Everton,19,10,4,5,30,21,+9,34,1.79,27.0,21.3,+5.6,+0.30,19,5,5,9,24,25,-1,20,1.05,20.5,23.2,-2.7,-0.14
9,Leicester City,19,8,3,8,24,20,+4,27,1.42,25.5,18.7,+6.8,+0.36,19,7,4,8,27,28,-1,25,1.32,23.9,23.5,+0.5,+0.02
10,West Ham,19,9,4,6,32,27,+5,31,1.63,26.3,24.9,+1.4,+0.08,19,6,3,10,20,28,-8,21,1.11,22.1,36.2,-14.1,-0.74
11,Watford,19,8,3,8,26,28,-2,27,1.42,23.0,27.5,-4.5,-0.24,19,6,5,8,26,31,-5,23,1.21,24.7,27.5,-2.7,-0.14
12,Crystal Palace,19,5,5,9,19,23,-4,20,1.05,27.8,21.8,+6.1,+0.32,19,9,2,8,32,30,+2,29,1.53,22.8,26.3,-3.5,-0.18
13,Newcastle Utd,19,8,1,10,24,25,-1,25,1.32,22.0,23.6,-1.6,-0.09,19,4,8,7,18,23,-5,20,1.05,16.9,29.5,-12.6,-0.67
14,Bournemouth,19,8,5,6,30,25,+5,29,1.53,28.6,24.3,+4.3,+0.23,19,5,1,13,26,45,-19,16,0.84,25.1,30.5,-5.4,-0.28
15,Burnley,19,7,2,10,24,32,-8,23,1.21,24.1,27.6,-3.5,-0.18,19,4,5,10,21,36,-15,17,0.89,17.3,35.4,-18.1,-0.95
16,Southampton,19,5,8,6,27,30,-3,23,1.21,22.9,24.9,-2.1,-0.11,19,4,4,11,18,35,-17,16,0.84,22.3,29.9,-7.5,-0.40
17,Brighton,19,6,5,8,19,28,-9,23,1.21,20.8,22.8,-2.1,-0.11,19,3,4,12,16,32,-16,13,0.68,14.0,32.3,-18.3,-0.96
18,Cardiff City,19,6,2,11,21,38,-17,20,1.05,22.7,25.6,-2.8,-0.15,19,4,2,13,13,31,-18,14,0.74,16.9,36.2,-19.3,-1.01
19,Fulham,19,6,3,10,22,36,-14,21,1.11,22.7,27.6,-4.9,-0.26,19,1,2,16,12,45,-33,5,0.26,16.8,37.7,-20.9,-1.10
20,Huddersfield,19,2,3,14,10,31,-21,9,0.47,16.0,30.0,-14.0,-0.74,19,1,4,14,12,45,-33,7,0.37,14.1,32.2,-18.1,-0.95
